block,plot,plant_num,spp_mix,plot_type,mix_type,species1,species2,mass_Sp,mass,bag_wt,true_wt,th,cd_fr,bc_ram_num,stem_num,leaf_num,sh,alive
2,7,4,SALA,MONO,MONO_A,SALA,SALA,SALA,10.09,5.43,4.66,60,NA,0,1,7,1,Y
2,7,5,SALA,MONO,MONO_A,SALA,SALA,SALA,8.03,5.43,2.6,63,7,1,3,10,0,Y
2,7,6,SALA,MONO,MONO_A,SALA,SALA,SALA,6.43,5.43,1,49,NA,0,1,6,0,Y
2,7,7,SALA,MONO,MONO_A,SALA,SALA,SALA,8.66,5.43,3.23,52,7,1,2,5,1,Y
2,7,8,SALA,MONO,MONO_A,SALA,SALA,SALA,10.43,5.43,5,66,54,1,2,8,1,Y
2,7,9,SALA,MONO,MONO_A,SALA,SALA,SALA,9.75,5.43,4.32,68,NA,0,2,15,1,Y
2,7,10,SALA,MONO,MONO_A,SALA,SALA,SALA,7.38,5.43,1.95,57,NA,0,3,14,1,Y
2,7,NA,SALA,MONO,MONO_A,SALA,SALA,TYPHA,384.92,41.73,343.19,NA,NA,NA,43,NA,NA,Y
2,8,NA,PEVI-SCCY,MIXED,NPA,PEVI,SCCY,TYPHA,340.21,41.73,298.48,NA,NA,NA,56,NA,NA,NA
2,8,NA,PEVI-SCCY,MIXED,NPA,PEVI,SCCY,PEVI,42.73,41.73,1,NA,NA,NA,NA,NA,NA,NA
2,8,NA,PEVI-SCCY,MIXED,NPA,PEVI,SCCY,SCCY,169.6,41.73,127.87,NA,NA,NA,NA,NA,NA,NA
2,9,NA,SCCY-JUEF,MIXED,PA,SCCY,JUEF,TYPHA,279.8,41.73,238.07,NA,NA,NA,61,NA,NA,NA
2,9,NA,SCCY-JUEF,MIXED,PA,SCCY,JUEF,JUEF,109.92,41.73,68.19,NA,NA,NA,NA,NA,NA,NA
2,9,NA,SCCY-JUEF,MIXED,PA,SCCY,JUEF,SCCY,121.07,41.73,79.34,NA,NA,NA,NA,NA,NA,NA
2,10,NA,SALA-ACAM,MIXED,NPA,SALA,ACAM,TYPHA,349.84,41.73,308.11,NA,NA,NA,79,NA,NA,NA
2,10,NA,SALA-ACAM,MIXED,NPA,SALA,ACAM,SALA,43.09,41.73,1.36,NA,NA,NA,NA,NA,NA,NA
2,10,NA,SALA-ACAM,MIXED,NPA,SALA,ACAM,ACAM,47.81,41.73,6.08,NA,NA,NA,NA,NA,NA,NA
2,11,1,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,18.42,5.43,12.99,154,21,5,NA,14,3,Y
2,11,2,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,6.99,5.43,1.56,117,NA,0,NA,5,0,Y
2,11,3,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,9.03,5.43,3.6,120,NA,0,NA,8,0,Y
2,11,4,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,11.16,5.43,5.73,142,27,4,NA,7,0,Y
2,11,5,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,6.64,5.43,1.21,108,6,1,NA,4,0,Y
2,11,6,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,14.75,5.43,9.32,139,18,5,NA,14,0,Y
2,11,7,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,18.98,5.43,13.55,134,8,2,NA,10,0,Y
2,11,8,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,6.68,5.43,1.25,120,NA,0,NA,5,0,Y
2,11,9,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,20.77,5.43,15.34,132,7,4,NA,13,0,Y
2,11,10,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,14.88,5.43,9.45,140,9,2,NA,4,0,Y
2,11,NA,SCTA,MONO,MONO_B,SCTA,SCTA,TYPHA,385.5,41.73,343.77,NA,NA,NA,35,NA,NA,Y
2,12,NA,SALA-ACAM,MIXED,NPA,SALA,ACAM,TYPHA,356.1,41.73,314.37,NA,NA,NA,53,NA,NA,NA
2,12,NA,SALA-ACAM,MIXED,NPA,SALA,ACAM,SALA,56.34,41.73,14.61,NA,NA,NA,NA,NA,NA,NA
2,12,NA,SALA-ACAM,MIXED,NPA,SALA,ACAM,ACAM,48.35,41.73,6.62,NA,NA,NA,NA,NA,NA,NA
2,13,NA,SALA-SPEU,MIXED,PA,SALA,SPEU,TYPHA,374.88,41.73,333.15,NA,NA,NA,68,NA,NA,NA
2,13,NA,SALA-SPEU,MIXED,PA,SALA,SPEU,SALA,55.27,41.73,13.54,NA,NA,NA,NA,NA,NA,NA
2,13,NA,SALA-SPEU,MIXED,PA,SALA,SPEU,SPEU,55.56,41.73,13.83,NA,NA,NA,NA,NA,NA,NA
2,14,1,BOFL,MONO,MONO_B,BOFL,BOFL,BOFL,6.8,5.43,1.37,26,NA,0,1,6,0,Y
2,14,2,BOFL,MONO,MONO_B,BOFL,BOFL,BOFL,7.64,5.43,2.21,89,7.5,1,2,10,0,Y
2,14,3,BOFL,MONO,MONO_B,BOFL,BOFL,BOFL,9.88,5.43,4.45,104,9,2,3,13,0,Y
2,14,4,BOFL,MONO,MONO_B,BOFL,BOFL,BOFL,6.66,5.43,1.23,69,10,1,2,11,0,Y
2,14,5,BOFL,MONO,MONO_B,BOFL,BOFL,BOFL,9.63,5.43,4.2,76,6,NA,4,21,0,Y
2,14,6,BOFL,MONO,MONO_B,BOFL,BOFL,BOFL,13.27,5.43,7.84,87,13,4,7,33,0,Y
2,14,7,BOFL,MONO,MONO_B,BOFL,BOFL,BOFL,17.88,5.43,12.45,96,9,6,5,29,0,Y
2,14,8,BOFL,MONO,MONO_B,BOFL,BOFL,BOFL,9.04,5.43,3.61,95,5,1,4,22,0,Y
2,14,9,BOFL,MONO,MONO_B,BOFL,BOFL,BOFL,7.22,5.43,1.79,61,NA,0,2,11,0,Y
2,14,10,BOFL,MONO,MONO_B,BOFL,BOFL,BOFL,0,0,0,NA,NA,NA,NA,NA,NA,N
2,14,NA,BOFL,MONO,MONO_B,BOFL,BOFL,TYPHA,304.61,41.73,262.88,NA,NA,NA,69,NA,NA,Y
2,15,NA,TYPHA,CONTROL,CONTROL,TYPHA,TYPHA,TYPHA,322.24,41.73,280.51,NA,NA,NA,65,NA,NA,Y
2,16,NA,SPEU-JUEF,MIXED,NPA,SPEU,JUEF,TYPHA,338.24,41.73,296.51,NA,NA,NA,40,NA,NA,NA
2,16,NA,SPEU-JUEF,MIXED,NPA,SPEU,JUEF,JUEF,116.97,41.73,75.24,NA,NA,NA,NA,NA,NA,NA
2,16,NA,SPEU-JUEF,MIXED,NPA,SPEU,JUEF,SPEU,67.65,41.73,25.92,NA,NA,NA,NA,NA,NA,NA
2,17,NA,PEVI-SCCY,MIXED,NPA,PEVI,SCCY,TYPHA,488.85,41.73,447.12,NA,NA,NA,83,NA,NA,NA
2,17,NA,PEVI-SCCY,MIXED,NPA,PEVI,SCCY,PEVI,42.47,41.73,0.74,NA,NA,NA,NA,NA,NA,NA
2,17,NA,PEVI-SCCY,MIXED,NPA,PEVI,SCCY,SCCY,145.23,41.73,103.5,NA,NA,NA,NA,NA,NA,NA
2,18,NA,PEVI-ACAM,MIXED,PA,PEVI,ACAM,TYPHA,480.82,41.73,439.09,NA,NA,NA,91,NA,NA,NA
2,18,NA,PEVI-ACAM,MIXED,PA,PEVI,ACAM,PEVI,42.3,41.73,0.57,NA,NA,NA,NA,NA,NA,NA
2,18,NA,PEVI-ACAM,MIXED,PA,PEVI,ACAM,ACAM,47.42,41.73,5.69,NA,NA,NA,NA,NA,NA,NA
2,19,NA,SPEU-JUEF,MIXED,NPA,SPEU,JUEF,TYPHA,390.32,41.73,348.59,NA,NA,NA,49,NA,NA,NA
2,19,NA,SPEU-JUEF,MIXED,NPA,SPEU,JUEF,JUEF,59.63,41.73,17.9,NA,NA,NA,NA,NA,NA,NA
2,19,NA,SPEU-JUEF,MIXED,NPA,SPEU,JUEF,SPEU,103.1,41.73,61.37,NA,NA,NA,NA,NA,NA,NA
2,20,NA,TYPHA,CONTROL,CONTROL,TYPHA,TYPHA,TYPHA,342.69,41.73,300.96,NA,NA,NA,53,NA,NA,Y
2,21,1,SCCY,MONO,MONO_A,SCCY,SCCY,SCCY,36.16,5.43,30.73,79,46,21,80,NA,0,Y
2,21,2,SCCY,MONO,MONO_A,SCCY,SCCY,SCCY,31.71,5.43,26.28,90,41,20,NA,NA,0,Y
2,21,3,SCCY,MONO,MONO_A,SCCY,SCCY,SCCY,30.31,5.43,24.88,79,38,19,NA,NA,0,Y
2,21,4,SCCY,MONO,MONO_A,SCCY,SCCY,SCCY,35.82,5.43,30.39,99,39,21,NA,NA,0,Y
2,21,5,SCCY,MONO,MONO_A,SCCY,SCCY,SCCY,35.25,5.43,29.82,83,35,21,NA,NA,0,Y
2,21,6,SCCY,MONO,MONO_A,SCCY,SCCY,SCCY,47.16,5.43,41.73,83,39,25,NA,NA,0,Y
2,21,7,SCCY,MONO,MONO_A,SCCY,SCCY,SCCY,32.46,5.43,27.03,75,40,19,NA,NA,0,Y
2,21,8,SCCY,MONO,MONO_A,SCCY,SCCY,SCCY,30.53,5.43,25.1,77,38,20,NA,NA,0,Y
2,21,9,SCCY,MONO,MONO_A,SCCY,SCCY,SCCY,38.84,5.43,33.41,86,39,23,NA,NA,0,Y
